YEAR,MONTH,ALLSKY_SFC_SW_DWN,CLOUD_AMT,CLRSKY_KT,PRECTOTCORR,PS,PSC,RH2M,T2M,WD10M,WS10M,WS2M,WSC
2019,NOV,4.68,29.26,0.62,0.0,94.12,76.48,85.95,19.26,58.9,2.48,1.43,3.25
2019,OCT,4.46,76.77,0.65,5.76,93.94,76.54,88.49,23.16,60.6,2.01,1.27,2.64
2019,SEP,3.59,87.61,0.66,13.36,93.5,76.23,91.41,23.92,215.5,3.61,2.43,4.5
2020,ANN,4.84,56.25,0.66,4.18,93.73,76.4,73.48,23.59,270.4,2.99,1.97,3.71
2020,APR,6.42,44.3,0.67,3.8,93.87,76.8,46.34,28.98,275.8,2.59,1.77,2.99
2020,AUG,3.04,94.06,0.66,12.78,93.14,75.95,90.68,24.22,255.3,4.65,3.21,5.46
2020,DEC,4.53,16.73,0.63,0.0,94.21,76.4,76.43,16.58,66.3,2.56,1.42,3.35
2020,FEB,5.22,30.38,0.65,1.01,94.26,76.65,62.92,20.31,57.7,2.75,1.77,3.53
2020,JAN,4.65,23.16,0.64,0.51,94.23,76.5,74.87,17.99,74.1,2.65,1.63,3.45
2020,JUL,4.39,90.58,0.67,7.56,93.26,76.1,85.51,25.21,236.0,3.09,2.17,3.71
2020,JUN,4.49,88.14,0.65,6.95,93.23,76.16,75.42,26.74,249.8,3.31,2.35,3.86
2020,MAR,5.91,32.05,0.66,1.53,93.99,76.72,55.92,25.63,240.6,2.51,1.68,3.07
2020,MAY,6.44,54.27,0.68,1.91,93.51,76.55,51.06,29.9,261.3,3.34,2.31,4.02
2020,NOV,4.34,44.66,0.65,0.78,94.17,76.56,85.11,19.88,70.3,3.07,1.87,4.12
2020,OCT,4.23,75.04,0.64,4.91,93.54,76.21,88.86,22.92,56.4,2.92,1.85,3.8
2020,SEP,4.43,81.68,0.66,8.45,93.37,76.16,88.7,24.7,190.7,2.46,1.59,3.12
2021,ANN,4.62,60.49,0.64,3.61,93.69,76.38,70.03,23.91,284.2,2.95,1.94,3.65
2021,APR,6.06,50.31,0.64,1.85,93.76,76.71,42.73,29.13,246.0,2.5,1.67,3.1
2021,AUG,3.81,91.55,0.64,8.7,93.31,76.11,88.84,24.64,252.9,3.1,2.11,3.88
2021,DEC,3.91,40.3,0.62,0.25,94.25,76.49,80.56,17.55,55.1,2.7,1.67,3.48
2021,FEB,5.61,18.77,0.67,0.27,94.13,76.58,45.03,20.93,45.8,2.7,1.67,3.35
2021,JAN,4.35,25.72,0.59,0.07,94.09,76.46,64.88,19.36,68.2,2.45,1.45,3.18
2021,JUL,3.73,92.19,0.65,8.84,93.13,75.97,86.58,24.83,247.1,3.91,2.74,4.57
2021,JUN,4.03,83.79,0.63,5.61,93.28,76.16,77.06,26.08,249.0,3.85,2.73,4.46
2021,MAR,5.76,32.26,0.62,0.18,93.92,76.73,33.08,26.9,343.8,2.57,1.63,3.11
2021,MAY,6.07,62.36,0.67,3.75,93.46,76.46,56.51,28.93,239.2,3.15,2.19,3.78
2021,NOV,3.85,67.55,0.63,1.92,93.95,76.43,87.57,20.92,78.3,3.08,1.94,4.13
2021,OCT,4.59,69.1,0.63,2.17,93.72,76.37,87.48,23.33,55.7,2.38,1.5,3.09
2021,SEP,3.69,91.93,0.65,9.67,93.31,76.09,90.06,24.33,230.8,2.95,1.96,3.7
2022,ANN,4.76,55.99,0.65,4.81,93.65,76.34,70.54,23.72,255.9,3.04,2.01,3.74
2022,APR,6.12,50.2,0.64,1.4,93.65,76.7,40.37,30.73,255.5,3.07,2.12,3.69
2022,AUG,3.7,89.4,0.67,17.45,93.19,75.99,90.01,24.25,252.9,3.7,2.54,4.4
2022,DEC,4.07,36.81,0.62,0.12,94.12,76.43,79.0,18.5,72.4,2.65,1.55,3.49
2022,FEB,5.63,14.07,0.67,0.03,94.03,76.46,53.89,20.28,47.0,2.71,1.68,3.43
2022,JAN,4.72,22.74,0.65,1.37,94.13,76.38,73.41,17.38,64.9,2.4,1.46,3.11
2022,JUL,3.22,93.13,0.68,15.24,93.06,75.91,88.58,24.69,256.3,3.67,2.59,4.23
2022,JUN,4.46,89.42,0.63,3.91,93.24,76.2,69.57,27.52,230.8,3.51,2.51,4.1
2022,MAR,6.07,26.01,0.65,0.0,93.81,76.64,35.95,26.91,4.5,2.77,1.82,3.37
2022,MAY,6.03,63.64,0.65,3.97,93.25,76.35,53.57,30.11,216.1,3.41,2.4,3.95
2022,NOV,4.54,37.46,0.62,0.14,94.11,76.43,84.27,18.5,56.9,2.53,1.49,3.35
2022,OCT,4.53,63.35,0.66,3.97,93.85,76.39,87.5,21.79,73.5,2.89,1.82,3.8
2022,SEP,4.02,85.64,0.69,10.09,93.41,76.16,90.37,24.02,244.9,3.22,2.14,3.98
2023,ANN,4.7,55.13,0.64,3.96,93.8,76.47,68.22,23.85,316.4,2.92,1.91,3.6
2023,APR,5.98,47.1,0.64,2.32,93.81,76.73,47.43,28.57,276.0,2.27,1.53,2.63
2023,AUG,3.79,88.68,0.63,7.7,93.43,76.2,88.96,24.37,270.0,3.79,2.61,4.53
2023,DEC,3.85,36.9,0.6,2.2,94.26,76.46,81.2,16.81,72.0,2.92,1.72,3.85
2023,FEB,5.8,12.16,0.68,0.0,94.16,76.65,38.29,21.79,28.9,2.82,1.75,3.4
2023,JAN,4.54,16.96,0.61,0.01,94.23,76.56,63.25,18.98,76.0,2.49,1.5,3.2
2023,JUL,3.31,93.52,0.68,12.75,93.12,76.01,84.86,25.6,269.5,3.68,2.6,4.25
2023,JUN,4.98,77.84,0.64,3.38,93.26,76.33,57.31,29.59,262.8,3.49,2.47,4.01
2023,MAR,5.46,43.53,0.64,3.3,94.02,76.73,47.91,25.27,244.3,2.38,1.56,2.87
2023,MAY,5.98,60.73,0.65,3.28,93.63,76.62,51.19,29.32,267.7,2.82,1.91,3.44
2023,NOV,4.23,50.67,0.62,1.2,94.22,76.59,85.06,19.81,66.1,2.87,1.76,3.97
2023,OCT,5.05,40.36,0.62,0.68,94.01,76.52,83.64,21.62,30.6,2.56,1.58,3.35
2023,SEP,3.44,93.15,0.63,10.65,93.38,76.15,89.6,24.46,269.6,2.94,1.98,3.61
2024,APR,5.81,40.39,0.63,0.68,93.73,76.83,34.46,31.77,288.6,2.68,1.84,3.25
2024,FEB,5.15,28.64,0.63,0.04,94.29,76.81,53.21,22.79,73.3,2.62,1.66,3.33
2024,JAN,4.11,32.88,0.57,0.01,94.3,76.59,68.89,18.59,69.9,2.55,1.52,3.33
2024,JUL,2.75,98.32,0.66,14.96,93.01,75.88,88.89,24.93,254.0,4.73,3.33,5.44
2024,JUN,4.48,85.5,0.62,6.6,93.29,76.26,71.11,27.74,237.7,3.29,2.38,3.72
2024,MAR,5.31,31.84,0.62,0.47,94.06,76.84,43.56,26.87,269.6,2.63,1.76,3.14
2024,MAY,5.87,55.56,0.66,3.6,93.43,76.51,52.05,30.47,242.8,2.99,2.08,3.58
